uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1523/jneurosci.2125-20.2021,Did We Get Sensorimotor Adaptation Wrong? Implicit Adaptation as Direct Policy Updating Rather than Forward-Model-Based Learning,"The human motor system can rapidly adapt its motor output in response to errors. The prevailing theory of this process posits that the motor system adapts an internal forward model that predicts the consequences of outgoing motor commands and uses this forward model to plan future movements. However, despite clear evidence that adaptive forward models exist and are used to help track the state of the body, there is no definitive evidence that such models are used in movement planning. An alternative to the forward-model-based theory of adaptation is that movements are generated based on a learned policy that is adjusted over time by movement errors directly (“direct policy learning”). This learning mechanism could act in parallel with, but independent of, any updates to a predictive forward model. Forward-model-based learning and direct policy learning generate very similar predictions a",2021,The Journal of Neuroscience,Alkis M. Hadjiosif; John W. Krakauer; Adrian M. Haith,10.1523/jneurosci.2125-20.2021,,https://doi.org/10.1523/jneurosci.2125-20.2021,crossref,test time adaptation robot policy,concept,adaptation,,70,test time adaptation,2026-06-12T15:07:36Z,22.631,22.631
doi:10.1177/0142331220941653,Observer-based robust control for flexible-joint robot manipulators: A state-dependent Riccati equation-based approach,"In this paper, the robust control problem is tackled by employing the state-dependent Riccati equation (SDRE) for uncertain systems with unmeasurable states subject to mismatched time-varying disturbances. The proposed observer-based robust (OBR) controller is applied to two highly nonlinear, coupled and large robotic systems: namely a manipulator presenting joint flexibility due to deformation of the power transmission elements between the actuator and the robot known as flexible-joint robot (FJR) and also an FJR incorporating geared permanent magnet DC motor dynamics in its dynamic model called electrical flexible-joint robot (EFJR). A novel state-dependent coefficient (SDC) form is introduced for uncertain EFJRs. Rather than coping with the OBR control problem for such complex uncertain robotic systems, the main idea is to solve an equivalent nonlinear optimal control problem where th",2020,Transactions of the Institute of Measurement and Control,Neda Nasiri; Ahmad Fakharian; Mohammad Bagher Menhaj,10.1177/0142331220941653,,https://doi.org/10.1177/0142331220941653,openalex,robotics,concept,openalex_bulk_robotics,,31,,2026-06-12T18:57:17Z,22.133,23.133
doi:10.1002/adrr.202500120,Asymmetry in Skipping Enhances Viability Against Control Input Noise,"Quadruped animals use the galloping gait at the highest speeds, which exhibits distinctive left–right asymmetry in gait parameters, such as touchdown angles and the relative phases of limb movements. The underlying reasons for this asymmetric behavior, as well as the functional advantages of asymmetric gait in robotic applications, remain unclear. In this study, we hypothesized that such asymmetry enhances robust control. To investigate this, we employ a simple two‐legged spring‐loaded inverted pendulum model that introduces asymmetry in the touchdown angles of the left and right legs to generate skipping. By applying viability theory, we quantified the viability regions within the state‐control space to evaluate the robustness against control input noise. The results show that introducing asymmetry broadens the viability region, thereby improving the system's robustness. This asymmetry ",2026,Advanced Robotics Research,Yuichi Ambe; Alvin So; Shinya Aoi,10.1002/adrr.202500120,,https://doi.org/10.1002/adrr.202500120,crossref,robotics,concept,crossref_bulk_robotics,,,robustness,2026-06-12T19:29:26Z,22.000,23.000
doi:10.1002/rob.70009,Tracking Control and Experiment for Propeller‐Driven Wall‐Climbing Robot Considering Actuator Dynamics and Saturation,"ABSTRACT In this paper, an adaptive tracking controller for the propeller‐driven wall‐climbing robot is developed, which is subject to velocity‐related input saturation and velocity constraint. First, the model of the propeller‐driven wall‐climbing robot is established, where actuator dynamics and input saturation are considered with velocity constraints. The strategy of active gravity balance is put forward, which simplifies the modeling but leads to the problem of velocity‐related input saturation. Second, the Gauss integration function is used to approximate the velocity‐related input saturation. The velocity constraint would be handled by employing the barrier Lyapunov‐based transformation rather than the barrier Lyapunov function (BLF) method. Thirdly, the tracking controller is developed based on the dynamic surface control method, where the adaptive robust controller and neural ne",2025,Journal of Field Robotics,Yang Sun; Yong Guo; Aijun Li,10.1002/rob.70009,,https://doi.org/10.1002/rob.70009,crossref,latent dynamics model robotics,concept,architecture,,3,latent dynamics model robotics,2026-06-12T15:07:36Z,21.693,21.693
doi:10.1109/tnnls.2021.3051946,Adaptive Neural Network Control for Full-State Constrained Robotic Manipulator With Actuator Saturation and Time-Varying Delays,"This article proposes an adaptive neural network (NN) control method for an n -link constrained robotic manipulator. Driven by actual demands, manipulator and actuator dynamics, state and input constraints, and unknown time-varying delays are taken into account simultaneously. NNs are employed to approximate unknown nonlinearities. Time-varying barrier Lyapunov functions are utilized to cope with full-state constraints. By resorting to saturation function and Lyapunov-Krasovskii functionals, the effects of actuator saturation and time delays are eliminated. It is proved that all the closed-loop signals are semiglobally uniformly ultimately bounded, full-state constraints and actuator saturation are not violated, and error signals remain within compact sets around zero. Simulation studies are given to demonstrate the validity and advantages of this control scheme.",2021,IEEE Transactions on Neural Networks and Learning Systems,Weiwei Sun; You Wu; Xinyu Lv,10.1109/tnnls.2021.3051946,,https://doi.org/10.1109/tnnls.2021.3051946,openalex,robotics,concept,openalex_bulk_robotics,,107,,2026-06-12T18:57:17Z,21.241,21.241
doi:10.1101/2020.01.22.914473,Did we get sensorimotor adaptation wrong? Implicit adaptation as direct policy updating rather than forward-model-based learning,"Abstract The human motor system can rapidly adapt its motor output in response to errors. The prevailing theory of this process posits that the motor system adapts an internal forward model that predicts the consequences of outgoing motor commands, and that this forward model is then used to guide selection of motor output. However, although there is clear evidence for the existence of adaptive forward models to help track the state of the body, there is no real evidence that such models influence the selection of motor output. A possible alternative to the forward-model-based theory of adaptation is that motor output could be directly adjusted by movement errors (“direct policy learning”), in parallel with but independent of any updates to a predictive forward model. Here, we show evidence for this latter theory based on the properties of implicit adaptation under mirror-reversed visual",,,Alkis M. Hadjiosif; John W. Krakauer; Adrian M. Haith,10.1101/2020.01.22.914473,,https://doi.org/10.1101/2020.01.22.914473,crossref,online adaptation robot learning,concept,adaptation,,11,online adaptation,2026-06-12T15:07:36Z,20.542,20.542
doi:10.1109/lcsys.2024.3416239,Rollover Prevention for Mobile Robots With Control Barrier Functions: Differentiator-Based Adaptation and Projection-to-State Safety,,2024,IEEE Control Systems Letters,Ersin Daş; Aaron D. Ames; Joel W. Burdick,10.1109/lcsys.2024.3416239,,https://doi.org/10.1109/lcsys.2024.3416239,crossref,control barrier functions robot learning,anti_myopia,control,,6,control barrier function,2026-06-12T15:07:36Z,19.973,22.973
doi:10.1115/imece2017-70665,Joint Torque Control of a Collaborative Robot Based on Active Disturbance Rejection With the Consideration of Actuator Delay,"The application of a robot manipulator to the task of parts assembling or collaboration with human workers requires compliant control and intrinsic safety. As a result, it is necessary to exert accurate torque on each joint of the robot through torque sensing and implementing closed-loop joint torque control. This torque servo system is required to track reference torque signals while operating under the influence of motor friction, flexibility of the harmonic drive, noise from the sensor, robot dynamics modelling error and other unknown certainties, resulting in large control efforts. This paper focuses on providing better compliance control for collaborative robots and proposes a joint torque controller design under development with active disturbance rejection concept. The controller is designed through a novel extended state observer to estimate and compensate for the unmodelled dyna",2017,"Volume 4A: Dynamics, Vibration, and Control",Tianyu Ren; Yunfei Dong; Dan Wu; Guolei Wang; Ken Chen,10.1115/imece2017-70665,,https://doi.org/10.1115/imece2017-70665,crossref,latent dynamics model robot control,concept,latent_dynamics,,4,,2026-06-12T15:07:36Z,19.855,19.855
doi:10.1002/oca.2875,Maximum principle for stochastic optimal control problem of finite state forward‐backward stochastic difference systems,"Abstract This article studies the maximum principle for stochastic optimal control problems of forward‐backward stochastic difference systems (FBSSs) where the uncertainty is modeled by a discrete time, finite state process, rather than white noises. Two distinct forms of FBSSs are investigated. The first one is described by a partially coupled forward‐backward stochastic difference equation (FBSE) and the second one is described by a fully coupled FBSE. We deduce the adjoint difference equation by adopting an appropriate representation of the product rule and a proper formulation of the backward stochastic difference equation (BSE). Finally, the maximum principle for this optimal control problem with the convex control domain is established.",2022,Optimal Control Applications and Methods,Shaolin Ji; Haodong Liu,10.1002/oca.2875,,https://doi.org/10.1002/oca.2875,crossref,optimal control robot manipulation,anti_myopia,anti_thesis,,2,robot manipulation; optimal control robot manipulation,2026-06-12T15:07:36Z,19.549,24.549
doi:10.1002/rob.22566,Cascaded Extended‐State‐Observer‐Based Synergetic Control for Quadcopter Translational Dynamics,"ABSTRACT This paper presents an approach to quadcopter position control, utilizing a Cascaded Extended State Observer (CESO) integrated with synergetic control. The proposed control strategy enhances the quadcopter's stability and tracking accuracy by estimating and compensating for aerodynamic disturbances and drag forces to a significant extent, which are challenging to measure or model analytically. This extent increases as the levels of the cascaded structure grow, progressively enhancing both accuracy and compensation capability. An efficient tuning approach is introduced in the paper for tuning multiple ESOs in a cascaded structure that uses hierarchical gain reduction, ensuring distinct frequency ranges for each observer. This achieves a rapid initial estimation while reducing noise in later stages, enhancing stability and robustness. The CESO framework, combined with synergetic c",2025,Journal of Field Robotics,Saif Sinan; Jawhar Ghommam; Maarouf Saad; Raouf Fareh; Maamar Bettayeb,10.1002/rob.22566,,https://doi.org/10.1002/rob.22566,crossref,latent dynamics model robotics,concept,architecture,,4,latent dynamics model robotics; robustness,2026-06-12T15:07:36Z,19.455,20.455
