split,task,seed,episode_id,gain_left,gain_right,deadzone_left,deadzone_right,saturation_left,saturation_right,latency_steps,fault_rate,payload_shift,thermal_drift,noise,target_norm,initial_error,contact_level
balanced_nominal,corridor_tracking,0,0,1.08644,0.94868,0.01708,0.02278,0.97986,0.99081,1,0.00000,0.04000,0.02000,0.01800,0.84988,0.83190,0.05000
balanced_nominal,corridor_tracking,0,1,1.06502,0.92880,0.01402,0.02189,0.97550,0.98564,0,0.00000,0.04000,0.02000,0.01800,1.11640,1.06134,0.05000
balanced_nominal,corridor_tracking,0,2,0.90593,1.07874,0.01492,0.01377,0.98046,0.98917,1,0.00000,0.04000,0.02000,0.01800,0.89767,0.89226,0.05000
balanced_nominal,corridor_tracking,0,3,0.94639,1.08578,0.01376,0.01992,0.97298,0.97345,0,0.00000,0.04000,0.02000,0.01800,0.75274,0.80711,0.05000
balanced_nominal,corridor_tracking,0,4,1.05218,0.91565,0.01762,0.01741,0.98691,0.98048,1,0.00000,0.04000,0.02000,0.01800,1.03665,1.06265,0.05000
balanced_nominal,corridor_tracking,0,5,1.09470,0.91571,0.02375,0.01475,0.99149,0.97899,1,0.00000,0.04000,0.02000,0.01800,0.73162,0.82508,0.05000
balanced_nominal,corridor_tracking,0,6,0.93352,1.06823,0.01197,0.02359,0.97476,0.98658,0,0.00000,0.04000,0.02000,0.01800,1.06466,1.07815,0.05000
balanced_nominal,corridor_tracking,0,7,1.06653,0.96028,0.01708,0.01157,0.98683,0.98683,1,0.00000,0.04000,0.02000,0.01800,0.59436,0.54061,0.05000
balanced_nominal,corridor_tracking,0,8,0.94203,1.08436,0.01905,0.01587,0.99196,0.98779,0,0.00000,0.04000,0.02000,0.01800,0.93131,0.89576,0.05000
balanced_nominal,corridor_tracking,0,9,1.07364,0.95103,0.02237,0.02370,0.99149,0.98484,0,0.00000,0.04000,0.02000,0.01800,0.86722,0.85593,0.05000
balanced_nominal,corridor_tracking,0,10,1.04938,0.94627,0.01811,0.01375,0.99167,0.99032,1,0.00000,0.04000,0.02000,0.01800,0.83844,0.80976,0.05000
balanced_nominal,corridor_tracking,0,11,1.06987,0.91821,0.02041,0.02638,0.98800,0.98517,0,0.00000,0.04000,0.02000,0.01800,0.92741,0.90094,0.05000
balanced_nominal,corridor_tracking,0,12,0.93256,1.06173,0.01662,0.01929,0.98353,0.98243,0,0.00000,0.04000,0.02000,0.01800,0.87722,0.90008,0.05000
balanced_nominal,corridor_tracking,0,13,1.05719,0.95495,0.01839,0.01142,0.98324,0.97503,1,0.00000,0.04000,0.02000,0.01800,0.69667,0.68980,0.05000
balanced_nominal,corridor_tracking,0,14,0.93290,1.04297,0.02105,0.02697,0.98967,0.98817,0,0.00000,0.04000,0.02000,0.01800,0.80227,0.81982,0.05000
balanced_nominal,corridor_tracking,0,15,1.07033,0.94356,0.01426,0.01144,0.98637,0.97732,1,0.00000,0.04000,0.02000,0.01800,1.04866,0.99148,0.05000
balanced_nominal,corridor_tracking,0,16,0.92990,1.04768,0.01956,0.01228,0.97764,0.97782,0,0.00000,0.04000,0.02000,0.01800,0.93582,0.94261,0.05000
balanced_nominal,corridor_tracking,0,17,1.06208,0.94646,0.01928,0.02094,0.97422,0.97647,1,0.00000,0.04000,0.02000,0.01800,0.87002,0.85202,0.05000
balanced_nominal,corridor_tracking,0,18,1.07201,0.95185,0.01801,0.02149,0.97944,0.98840,1,0.00000,0.04000,0.02000,0.01800,0.79555,0.81567,0.05000
balanced_nominal,corridor_tracking,0,19,1.07647,0.92005,0.01541,0.02153,0.98507,0.97327,0,0.00000,0.04000,0.02000,0.01800,0.85614,0.80971,0.05000
